step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
81,E,E,frwd,-10,-0.13021882998700782,0.0,0.13021882998700782,0.4348905850064961,0.0,"{""frwd"": -9.9321776927151}"
82,S,S1,,-1,-0.13021882998700782,0.0,0.0,0.0,0.0,"{""frwd"": -15.274223501272143}"
83,S1,G,frwd,10,-2.5173478157463482,0.6818181818181819,1.0,0.0,0.0,"{""frwd"": 9.176457000000001}"
84,G,G,frwd,10,10.059910440381643,0.0,1.0,1.0,0.0,"{""frwd"": 9.176457000000001}"
85,S,S1,,-1,10.059910440381643,0.0,0.0,0.0,0.0,"{""frwd"": -5.2143130608905}"
86,S1,P,frwd,-5,0.9540323478805993,0.34782608695652173,0.9540323478805993,0.9770161739402996,0.0,"{""frwd"": -18.63511598680724}"
87,P,E,frwd,-10,-4.967187398170805,0.0,1.0,0.0,0.0,"{""frwd"": -9.95252438490057}"
88,E,E,frwd,-10,-0.09664678788098265,0.0,0.09664678788098265,0.45167660605950866,0.0,"{""frwd"": -9.95252438490057}"
89,S,S1,,-1,-0.09664678788098265,0.0,0.0,0.0,0.0,"{""frwd"": -10.181500459061304}"
90,S1,P,frwd,-5,-0.6733179539896974,0.33333333333333337,0.6733179539896974,0.1633410230051513,0.0,"{""frwd"": -18.73176277468822}"
91,P,E,frwd,-10,-3.503125811447428,0.0,1.0,0.0,0.0,"{""frwd"": -9.9667670694304}"
92,E,E,frwd,-10,-0.07149827633974226,0.0,0.07149827633974226,0.46425086183012887,0.0,"{""frwd"": -9.9667670694304}"
93,S,S1,,-1,-0.07149827633974226,0.0,0.0,0.0,0.0,"{""frwd"": -13.684626270508733}"
94,S1,P,frwd,-5,-1.4171665368835942,0.31999999999999995,1.0,0.0,0.0,"{""frwd"": -18.803261051027963}"
95,P,E,frwd,-10,-2.47149260262493,0.0,1.0,0.0,0.0,"{""frwd"": -9.97673694860128}"
96,E,E,frwd,-10,-0.052740660813956806,0.0,0.052740660813956806,0.4736296695930216,0.0,"{""frwd"": -9.97673694860128}"
97,S,S1,,-1,-0.052740660813956806,0.0,0.0,0.0,0.0,"{""frwd"": -16.156118873133664}"
98,S1,P,frwd,-5,-1.6593195785272477,0.3076923076923077,1.0,0.0,0.0,"{""frwd"": -18.85600171184192}"
99,P,E,frwd,-10,-1.7442848002572193,0.0,1.0,0.0,0.0,"{""frwd"": -9.983715864020896}"
100,E,E,frwd,-10,-0.03880276973306635,0.0,0.03880276973306635,0.4805986151334668,0.0,"{""frwd"": -9.983715864020896}"
101,S,S1,,-1,-0.03880276973306635,0.0,0.0,0.0,0.0,"{""frwd"": -17.900403673390883}"
102,S1,P,frwd,-5,-1.6324806010385222,0.2962962962962963,1.0,0.0,0.0,"{""frwd"": -18.894804481574987}"
103,P,E,frwd,-10,-1.2314761080079812,0.0,1.0,0.0,0.0,"{""frwd"": -9.988601104814627}"
104,E,E,frwd,-10,-0.028480953827453345,0.0,0.028480953827453345,0.48575952308627335,0.0,"{""frwd"": -9.988601104814627}"
105,S,S1,,-1,-0.028480953827453345,0.0,0.0,0.0,0.0,"{""frwd"": -19.131879781398865}"
106,S1,G,frwd,10,-1.4752349698891216,0.7142857142857143,1.0,0.0,0.0,"{""frwd"": 9.4235199}"
107,G,G,frwd,10,11.283914307419659,0.0,1.0,1.0,0.0,"{""frwd"": 9.4235199}"
108,S,S1,,-1,11.283914307419659,0.0,0.0,0.0,0.0,"{""frwd"": -7.847965473979206}"
109,S1,P,frwd,-5,2.0139923840809235,0.31034482758620685,1.0,1.0,0.0,"{""frwd"": -18.92328543540244}"
110,P,E,frwd,-10,-4.254897425364897,0.0,1.0,0.0,0.0,"{""frwd"": -9.992020773370239}"
111,E,E,frwd,-10,-0.020859978189232107,0.0,0.020859978189232107,0.48957001090538393,0.0,"{""frwd"": -9.992020773370239}"
112,S,S1,,-1,-0.020859978189232107,0.0,0.0,0.0,0.0,"{""frwd"": -12.102862899344103}"
113,S1,P,frwd,-5,0.26097236400812457,0.30000000000000004,0.26097236400812457,0.6304861820040623,0.0,"{""frwd"": -18.944145413591674}"
114,P,E,frwd,-10,-2.9840603918665205,0.0,1.0,0.0,0.0,"{""frwd"": -9.994414541359168}"
115,E,E,frwd,-10,-0.015248302089473142,0.0,0.015248302089473142,0.49237584895526343,0.0,"{""frwd"": -9.994414541359168}"
116,S,S1,,-1,-0.015248302089473142,0.0,0.0,0.0,0.0,"{""frwd"": -15.086923291210624}"
117,S1,P,frwd,-5,-0.6230156509982733,0.29032258064516125,0.6230156509982733,0.18849217450086336,0.0,"{""frwd"": -18.959393715681145}"
