step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
112,P,E,frwd,-10.0,-0.09957458533859018,0.0,0.0,0.0,0.0,"{""frwd"": -9.996090178951418}"
113,E,E,frwd,-10.0,-0.011126233612539593,0.0,0.0,0.0,0.0,"{""frwd"": -9.996090178951418}"
114,S,S1,,-1.0,-0.011126233612539593,0.0,0.0,0.0,0.0,"{""frwd"": -21.831113644989653}"
115,S1,P,frwd,-5.0,-0.2871397616172821,0.0,0.0,0.0,0.0,"{""frwd"": -18.970519949293685}"
116,P,E,frwd,-10.0,-0.07270629281239956,0.0,0.0,0.0,0.0,"{""frwd"": -9.997263125265992}"
117,E,E,frwd,-10.0,-0.008105059033711726,0.0,0.0,0.0,0.0,"{""frwd"": -9.997263125265992}"
118,S,S1,,-1.0,-0.008105059033711726,0.0,0.0,0.0,0.0,"{""frwd"": -21.90381993780205}"
119,S1,P,frwd,-5.0,-0.2206285321914457,0.0,0.0,0.0,0.0,"{""frwd"": -18.9786250083274}"
120,P,E,frwd,-10.0,-0.05308277090778191,0.0,0.0,0.0,0.0,"{""frwd"": -9.998084187686194}"
121,E,E,frwd,-10.0,-0.005895228177052303,0.0,0.0,0.0,0.0,"{""frwd"": -9.998084187686194}"
122,S,S1,,-1.0,-0.005895228177052303,0.0,0.0,0.0,0.0,"{""frwd"": -21.956902708709833}"
123,S1,P,frwd,-5.0,-0.168772320679113,0.0,0.0,0.0,0.0,"{""frwd"": -18.98452023650445}"
124,P,E,frwd,-10.0,-0.038749651243251644,0.0,0.0,0.0,0.0,"{""frwd"": -9.998658931380335}"
125,E,E,frwd,-10.0,-0.004281840521355917,0.0,0.0,0.0,0.0,"{""frwd"": -9.998658931380335}"
126,S,S1,,-1.0,-0.004281840521355917,0.0,0.0,0.0,0.0,"{""frwd"": -21.995652359953084}"
127,S1,P,frwd,-5.0,-0.12860303031105644,0.0,0.0,0.0,0.0,"{""frwd"": -18.988802077025806}"
128,P,E,frwd,-10.0,-0.028280852811042933,0.0,0.0,0.0,0.0,"{""frwd"": -9.999061251966236}"
129,E,E,frwd,-10.0,-0.0031059149231417392,0.0,0.0,0.0,0.0,"{""frwd"": -9.999061251966236}"
130,S,S1,,-1.0,-0.0031059149231417392,0.0,0.0,0.0,0.0,"{""frwd"": -22.023933212764128}"
131,S1,P,frwd,-5.0,-0.09765795147672236,0.0,0.0,0.0,0.0,"{""frwd"": -18.99190799194895}"
132,P,E,frwd,-10.0,-0.020635193996978173,0.0,0.0,0.0,0.0,"{""frwd"": -9.999342876376366}"
133,E,E,frwd,-10.0,-0.0022501790369346963,0.0,0.0,0.0,0.0,"{""frwd"": -9.999342876376366}"
