step,state,next_state,action,reward,td_error,suddenness,goal_relevance,conduciveness,power,q_values_json
72,E,E,frwd,-10,-0.13021882998700782,0.0,0.13021882998700782,0.4348905850064961,0.0,"{""frwd"": -9.9321776927151}"
73,S,S1,,-1,-0.13021882998700782,0.0,0.0,0.0,0.0,"{""frwd"": -7.940173179081323}"
74,S1,P,frwd,-5,0.9453454644046324,0.21052631578947367,0.9453454644046324,0.9726727322023162,0.0,"{""frwd"": -18.63511598680724}"
75,P,E,frwd,-10,-4.1494293627135574,0.0,1.0,0.0,0.0,"{""frwd"": -9.95252438490057}"
76,E,E,frwd,-10,-0.09664678788098265,0.0,0.09664678788098265,0.45167660605950866,0.0,"{""frwd"": -9.95252438490057}"
77,S,S1,,-1,-0.09664678788098265,0.0,0.0,0.0,0.0,"{""frwd"": -12.08960254179488}"
78,S1,G,frwd,10,-0.4586041028494174,0.8,0.4586041028494174,0.2706979485752913,0.0,"{""frwd"": 7.598999999999999}"
79,G,G,frwd,10,8.678610762538463,0.0,1.0,1.0,0.0,"{""frwd"": 7.598999999999999}"
80,S,S1,,-1,8.678610762538463,0.0,0.0,0.0,0.0,"{""frwd"": -3.410991779256417}"
81,S1,P,frwd,-5,2.022202033890793,0.23809523809523814,1.0,1.0,0.0,"{""frwd"": -18.73176277468822}"
82,P,E,frwd,-10,-5.534278415388894,0.0,1.0,0.0,0.0,"{""frwd"": -9.9667670694304}"
83,E,E,frwd,-10,-0.07149827633974226,0.0,0.07149827633974226,0.46425086183012887,0.0,"{""frwd"": -9.9667670694304}"
84,S,S1,,-1,-0.07149827633974226,0.0,0.0,0.0,0.0,"{""frwd"": -8.94527019464531}"
85,S1,P,frwd,-5,-0.07871374843144582,0.2272727272727273,0.07871374843144582,0.4606431257842771,0.0,"{""frwd"": -18.803261051027963}"
86,P,E,frwd,-10,-3.893299425383957,0.0,1.0,0.0,0.0,"{""frwd"": -9.97673694860128}"
87,E,E,frwd,-10,-0.052740660813956806,0.0,0.052740660813956806,0.4736296695930216,0.0,"{""frwd"": -9.97673694860128}"
88,S,S1,,-1,-0.052740660813956806,0.0,0.0,0.0,0.0,"{""frwd"": -12.838569620029267}"
89,S1,P,frwd,-5,-1.1062904687556803,0.21739130434782605,1.0,0.0,0.0,"{""frwd"": -18.85600171184192}"
90,P,E,frwd,-10,-2.7395495761885384,0.0,1.0,0.0,0.0,"{""frwd"": -9.983715864020896}"
91,E,E,frwd,-10,-0.03880276973306635,0.0,0.03880276973306635,0.4805986151334668,0.0,"{""frwd"": -9.983715864020896}"
92,S,S1,,-1,-0.03880276973306635,0.0,0.0,0.0,0.0,"{""frwd"": -15.578119196217806}"
93,S1,G,frwd,10,-1.5140817136998816,0.7916666666666666,1.0,0.0,0.0,"{""frwd"": 8.3193}"
94,G,G,frwd,10,9.91964675886534,0.0,1.0,1.0,0.0,"{""frwd"": 8.3193}"
95,S,S1,,-1,9.91964675886534,0.0,0.0,0.0,0.0,"{""frwd"": -5.658472437352465}"
96,S1,P,frwd,-5,1.6184474253037247,0.24,1.0,1.0,0.0,"{""frwd"": -18.894804481574987}"
97,P,E,frwd,-10,-4.904055478819506,0.0,1.0,0.0,0.0,"{""frwd"": -9.988601104814627}"
98,E,E,frwd,-10,-0.028480953827453345,0.0,0.028480953827453345,0.48575952308627335,0.0,"{""frwd"": -9.988601104814627}"
99,S,S1,,-1,-0.028480953827453345,0.0,0.0,0.0,0.0,"{""frwd"": -10.562527916171971}"
100,S1,G,frwd,10,-0.19118178156865911,0.7692307692307692,0.19118178156865911,0.4044091092156704,0.0,"{""frwd"": 8.82351}"
101,G,G,frwd,10,8.55110607485159,0.0,1.0,1.0,0.0,"{""frwd"": 8.82351}"
